product_group,Código,Designação,TUnd,source_file
Atorvastatina,5317102,"Atorvastatina Teva MG, 40 mg Blister 28 Unidade(s) Comp revest pelic...[28]",2.0,genericos.csv
Bilastina,5823810,"Bilastina Farmoz MG, 20 mg Blister 20 Unidade(s) Comp...[20]",261.0,genericos.csv
Bilastina,5920210,"Bilastina Allerzin MG, 20 mg Blister 20 Unidade(s) Comp...[20]",97.0,genericos.csv
Bilastina,5816525,"Bilastina Pharmakern MG, 20 mg Blister 20 Unidade(s) Comp...[20]",60.0,genericos.csv
Bilastina,5820774,"Bilastina Tolife MG, 20 mg Blister 20 Unidade(s) Comp...[20]",46.0,genericos.csv
Bilastina,5843958,"Bilastina Generis MG, 20 mg Blister 20 Unidade(s) Comp...[20]",19.0,genericos.csv
Bisoprolol,5065487,"Bisoprolol Sandoz MG, 5 mg Blister 56 Unidade(s) Comp revest pelic...[56]",428.0,genericos.csv
Bisoprolol,5602446,"Bisoprolol Krka MG, 2.5 mg Blister 30 Unidade(s) Comp revest pelic...[30]",257.0,genericos.csv
Bisoprolol,5587076,"Bisoprolol Krka MG, 5 mg Blister 28 Unidade(s) Comp revest pelic...[28]",204.0,genericos.csv
Bisoprolol,5817069,"Bisoprolol Zentiva MG, 2.5 mg Blister 60 Unidade(s) Comp...[60]",176.0,genericos.csv
Bisoprolol,5341672,"Bisoprolol Aurobindo MG, 2.5 mg Blister 60 Unidade(s) Comp revest pelic...[60]",103.0,genericos.csv
Bisoprolol,5352414,"Bisoprolol Mylan MG, 5 mg Blister 56 Unidade(s) Comp revest pelic...[56]",38.0,genericos.csv
Bisoprolol,5725445,"Bisoprolol toLife MG, 5 mg Blister 60 Unidade(s) Comp...[60]",36.0,genericos.csv
Bisoprolol,5725379,"Bisoprolol toLife MG, 2.5 mg Blister 60 Unidade(s) Comp...[60]",32.0,genericos.csv
Bisoprolol,5113881,"Bisoprolol Sandoz MG, 10 mg Blister 56 Unidade(s) Comp revest pelic...[56]",24.0,genericos.csv
Bisoprolol,5819115,"Bisoprolol Zentiva MG, 1.25 mg Blister 60 Unidade(s) Comp...[60]",21.0,genericos.csv
