product_code,product_name,stock,recent_months,recent_months_with_sales,recent_units_sold,recent_average_monthly_sales,recent_sales_stddev,months_with_data,annual_units_sold,average_monthly_sales,sales_stddev,recommended_order
4645792,"Cipamox , 3000 mg Saqueta Po susp oral...[1]",3.0,"JUN, JUL_2, AGO_2",2,2.0,0.6666666666666666,0.4714045207910317,2,2.0,0.13333333333333333,0.33993463423951903,0
9577700,"Cipamox , 1000 mg Blister 16 Unidade(s) Comp...[16]",12.0,"JUN, JUL_2, AGO_2",3,32.0,10.666666666666666,0.4714045207910317,15,129.0,8.6,3.878143885933063,0
9422501,"Cefradur, 500 mg x 16 cáps...[16]",2.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,3,3.0,0.2,0.4,0
9540906,"Cefradur, 1000 mg x 16 comp...[16]",3.0,"JUN, JUL_2, AGO_2",2,3.0,1.0,0.816496580927726,9,21.0,1.4,1.3564659966250538,0
5672217,"Cartilon, 1500 mg x 60 comp rev...[60]",3.0,"JUN, JUL_2, AGO_2",3,5.0,1.6666666666666667,0.4714045207910317,6,8.0,0.5333333333333333,0.7180219742846006,0
5441654,"Binosto, 70 mg x 4 comp eferv...[4]",10.0,"JUN, JUL_2, AGO_2",3,11.0,3.6666666666666665,2.494438257849294,15,42.0,2.8,1.7587874611030558,0
5685219,"Biloban, 80 mg x 60 comp rev...[60]",4.0,"JUN, JUL_2, AGO_2",3,7.0,2.3333333333333335,0.4714045207910317,14,58.0,3.8666666666666667,2.186829262247563,0
2184992,"Biloban, 40 mg x 60 comp rev...[60]",5.0,"JUN, JUL_2, AGO_2",2,4.0,1.3333333333333333,0.9428090415820634,11,24.0,1.6,1.1430952132988166,0
5819420,"Biloban , 240 mg Blister 30 Unidade(s) Comp revest...[30]",5.0,"JUN, JUL_2, AGO_2",3,7.0,2.3333333333333335,0.4714045207910317,14,39.0,2.6,1.3564659966250536,0
4273793,"Betamox Plus 400 , 400 mg/5 ml + 57 mg/5 ml Frasco 100 ml Po susp oral...[1]",3.0,"JUN, JUL_2, AGO_2",2,5.0,1.6666666666666667,1.247219128924647,12,43.0,2.8666666666666667,1.9618585292749546,0
2869584,"Betamox Plus , 875 mg + 125 mg Blister 16 Unidade(s) Comp revest...[16]",26.0,"JUN, JUL_2, AGO_2",3,75.0,25.0,7.0710678118654755,15,291.0,19.4,6.681317235396027,0
5934294,"Betamox MG, 250 mg/5 ml + 62.5 mg/5 ml Frasco 120 ml Po susp oral...[1]",2.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,2,2.0,0.13333333333333333,0.3399346342395189,0
5719315,"Betamox ES MG, 600 mg/5 ml + 42.9 mg/5 ml Frasco 100 ml Po susp oral...[1]",5.0,"JUN, JUL_2, AGO_2",1,3.0,1.0,1.4142135623730951,11,49.0,3.2666666666666666,3.021405118299909,0
9533513,"Benflux, 30 mg x 20 comp...[20]",3.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,2,5.0,0.3333333333333333,1.0110500592068732,0
9557603,"Benflux, 3 mg/mL-200 mL x 1 xar mL...[1]",0.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,2,3.0,0.2,0.5416025603090641,0
7556142,Benflux Natural Sol Oral S/Açucar 150Ml...[0],5.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,4,11.0,0.7333333333333333,1.768866554856213,0
7556159,Benflux Natural Sol Oral 150Ml...[0],3.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,6,13.0,0.8666666666666667,1.7461067804945059,0
5200266,"Benflux Forte, 6 mg/mL-200 mL x 1 xar medida...[1]",1.0,"JUN, JUL_2, AGO_2",2,2.0,0.6666666666666666,0.4714045207910317,7,9.0,0.6,0.7118052168020874,0
7608687,Barral Íntima Pediat Sol Hig 200Ml 2A+...[1],3.0,"JUN, JUL_2, AGO_2",2,3.0,1.0,0.816496580927726,3,9.0,0.6,1.540562667772179,0
7544163,Barral Stop24 Roll On 50Ml...[0],4.0,"JUN, JUL_2, AGO_2",2,2.0,0.6666666666666666,0.4714045207910317,7,11.0,0.7333333333333333,0.9285592184789413,0
6011874,Barral Stop24 Cr 40G...[0],,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
7538645,Barral Motherprot Ol Prev Estrias 60Ml...[0],4.0,"JUN, JUL_2, AGO_2",1,2.0,0.6666666666666666,0.9428090415820634,2,3.0,0.2,0.5416025603090641,0
6326595,Barral Motherprot Cr Prot Mamilos 40Ml...[0],2.0,"JUN, JUL_2, AGO_2",0,0.0,0.0,0.0,1,1.0,0.06666666666666667,0.24944382578492946,0
6326587,Barral Motherprot Cr Gordo Oleo Amend 200Ml...[0],1.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,5,5.0,0.3333333333333333,0.47140452079103173,0
7078949,Barral Intima Prevencao C/Prebiot 200Ml...[0],4.0,"JUN, JUL_2, AGO_2",2,7.0,2.3333333333333335,1.699673171197595,12,31.0,2.066666666666667,1.5260697523012796,0
7078931,Barral Intima Neutro 200Ml...[0],1.0,"JUN, JUL_2, AGO_2",1,1.0,0.3333333333333333,0.4714045207910317,7,10.0,0.6666666666666666,0.7888106377466155,0
